protein1,protein2,weight
KRR1,MPHOSPH10,0.999
NOG,BMP2,0.999
KRR1,NOL10,0.999
FTH1,FTL,0.999
RMI1,FANCM,0.999
RPS17,RPL34,0.999
RPS17,RPS18,0.999
RPS17,RPS12,0.999
RPS17,RPS16,0.999
RPS17,RPL19,0.999
RPS17,RPL5,0.999
RPS17,RPL35,0.999
RPS17,RPSA,0.999
CDK2,CDKN1C,0.999
RPS17,RPS19,0.999
RPS17,RPL15,0.999
KRR1,UTP6,0.999
KRR1,NOP56,0.999
KRR1,DCAF13,0.999
SNRNP200,SF3A3,0.999
RPS17,RACK1,0.999
RPS17,RPL36,0.999
PSMB10,PSMA5,0.999
RPS17,RPL23,0.999
RPS17,RPL6,0.999
CDK2,CCNA2,0.999
RPS17,RPL7A,0.999
STIP1,HSP90AA1,0.999
PSMB10,PSMB2,0.999
RPS17,RPS10,0.999
RPS17,RPL27A,0.999
KRR1,NOP58,0.999
KRR1,IMP3,0.999
KRR1,BYSL,0.999
KRR1,WDR46,0.999
KRR1,NGDN,0.999
RPS17,RPS21,0.999
RPS17,RPL18,0.999
RPS17,RPL9,0.999
RPS17,RPL13,0.999
RPS17,RPS24,0.999
RPS17,RPL11,0.999
PSMB10,PSMB9,0.999
PSMB10,PSMB8,0.999
MALT1,CARD10,0.999
PSMB10,POMP,0.999
PSMB10,PSMA3,0.999
BOP1,PES1,0.999
SNRNP200,LSM2,0.999
KRR1,NOC4L,0.999
MRPS35,MRPS9,0.999
TLR7,MYD88,0.999
PSMB10,PSMB3,0.999
MALT1,CARD11,0.999
MRPS35,MRPS11,0.999
MALT1,BCL10,0.999
MALT1,TRAF6,0.999
MRPS35,PTCD3,0.999
TSC1,TSC2,0.999
MALT1,CARD9,0.999
IL17RB,IL25,0.999
BOP1,DDX18,0.999
IL17RB,IL17RA,0.999
NOG,BMP7,0.999
BCKDHB,BCKDHA,0.999
SREBF2,SCAP,0.999
MRPS35,DAP3,0.999
MRPS35,MRPS5,0.999
UPF3A,SMG1,0.999
BCKDHB,DBT,0.999
ECI2,ECI1,0.999
UPF3A,SRRM1,0.999
RAD52,RPA1,0.999
UPF3A,UPF2,0.999
SNRPF,LSM5,0.999
STIP1,HSP90AB1,0.999
STIP1,HSPA4,0.999
SNRPF,PRPF8,0.999
BOP1,WDR12,0.999
GCLM,GCLC,0.999
SNRNP200,SF3B1,0.999
SNRNP200,TXNL4A,0.999
BOP1,WDR74,0.999
UPF3A,RNPS1,0.999
UPF3A,NXF1,0.999
SNRPF,CRNKL1,0.999
SNRPF,SNRPA1,0.999
VAMP3,STX3,0.999
MRPS35,MRPS10,0.999
UPF3A,UPF1,0.999
SNRPF,LSM6,0.999
SNRPF,SNRPG,0.999
SNRPF,LSM7,0.999
SNRPF,SF3B5,0.999
MRPS35,MRPS14,0.999
MRPS35,MRPS15,0.999
SYNE1,SUN2,0.999
ACSM2A,ACSM2B,0.999
SLC7A6,SLC3A2,0.999
GNB3,GNG4,0.999
GNB3,GNG13,0.999
GNB3,GNGT1,0.999
UPF3A,CASC3,0.999
SNRPF,PLRG1,0.999
SNRPF,PRPF19,0.999
SNRPF,SNRPD1,0.999
SNRPF,SNRPD2,0.999
SNRPF,CDC40,0.999
SNRPF,LSM8,0.999
GNB3,GNG7,0.999
GNB3,GNG2,0.999
TNFRSF18,TNFSF18,0.999
GNB3,GNGT2,0.999
RAD52,RAD51,0.999
SNRPF,EFTUD2,0.999
SNRPF,LSM2,0.999
SMN1,SNRPD1,0.999
SNRPF,SF3A3,0.999
UPF3A,EIF4A3,0.999
UPF3A,SMG5,0.999
UPF3A,RBM8A,0.999
SNRPF,SF3B1,0.999
SNRPF,SNRNP70,0.999
SNRPF,SNRPC,0.999
UPF3A,MAGOH,0.999
APOA2,APOE,0.999
SNRPF,SF3B2,0.999
TBL3,WDR75,0.999
TBL3,UTP15,0.999
SNUPN,XPO1,0.999
AMY1A,AMY1B,0.999
HMGCR,HMGCS1,0.999
USP5,UBC,0.999
CSF1,CSF1R,0.999
SNRPF,SNRPN,0.999
SNRPF,SNW1,0.999
SNRPF,PRPF4,0.999
SNRPF,SF3B3,0.999
SNRPF,PRPF31,0.999
SNRPF,SNRPA,0.999
TBL3,UTP6,0.999
TBL3,DCAF13,0.999
TBL3,UTP4,0.999
TBL3,NOP56,0.999
TBL3,HEATR1,0.999
SNRNP200,DDX23,0.999
SNRNP200,EFTUD2,0.999
SNRPF,SNRNP200,0.999
SNRPF,LSM3,0.999
SNRPF,LSM10,0.999
SNRPF,BUD31,0.999
IL17A,IL17RC,0.999
TSC1,TBC1D7,0.999
SNRPF,SART1,0.999
SMN1,GEMIN2,0.999
SNRPF,SNRPB2,0.999
SLF2,SLF1,0.999
TBL3,KRR1,0.999
TBL3,WDR46,0.999
SNRNP200,SNU13,0.999
BCKDHB,DLD,0.999
SNRPF,SNRPD3,0.999
SNRPF,SNRPE,0.999
SNRPF,SNRPB,0.999
SNRPF,PRPF6,0.999
SNRPF,CDC5L,0.999
SNRPF,RBM22,0.999
BCKDHB,F5H5P2_HUMAN,0.999
IL17A,IL17RA,0.999
TLR3,TICAM1,0.999
SMN2,GEMIN2,0.999
RAD52,RPA2,0.999
LMNA,SUN2,0.999
CASP8,FASLG,0.999
TBL3,RRP9,0.999
TBL3,BMS1,0.999
TBL3,WDR36,0.999
TBL3,UTP20,0.999
TBL3,NOP58,0.999
FOXP3,RUNX1,0.999
TBL3,NOC4L,0.999
TTC37,WDR61,0.999
LUM,COL1A2,0.999
CASP8,CFLAR,0.999
CASP8,FAS,0.999
CASP8,FADD,0.999
TTC37,SKIV2L,0.999
CASP8,CASP10,0.999
TLR3,MYD88,0.999
CASP8,RIPK3,0.999
TBL3,WDR3,0.999
TBL3,NAT10,0.999
TBL3,UTP18,0.999
TBL3,IMP4,0.999
TBL3,PWP2,0.999
TBL3,RRP7A,0.999
FTH1,NCOA4,0.999
TPI1,GAPDHS,0.999
CASP8,TRADD,0.999
TLR3,UNC93B1,0.999
TAF9,TAF4,0.999
CASP8,TNFRSF10B,0.999
CASP8,TNF,0.999
TAF9,TADA1,0.999
TAF9,TBP,0.999
TAF9,SUPT3H,0.999
TAF9,TAF5,0.999
TAF9,SUPT7L,0.999
ASIP,MC1R,0.999
DDX23,PRPF6,0.999
TBL3,WDR43,0.999
TBL3,NOL6,0.999
TBL3,MPHOSPH10,0.999
TAF9,TAF12,0.999
TAF9,TAF10,0.999
TAF9,ATXN7,0.999
TAF9,TAF5L,0.999
TAF9,TAF13,0.999
TAF9,TAF1,0.999
TAF9,TADA3,0.999
TAF9,TAF11,0.999
TAF9,KAT2A,0.999
TAF9,TADA2B,0.999
TAF9,TAF8,0.999
TAF9,TRRAP,0.999
TAF9,TAF6,0.999
TAF9,TAF7,0.999
TAF9,TAF2,0.999
TAF9,TAF6L,0.999
CASP8,RIPK1,0.999
TAF9,KAT2B,0.999
TAF9,SGF29,0.999
CASP8,CASP1,0.999
TAF9,SUPT20H,0.999
GMDS,TSTA3,0.999
CASP8,CASP3,0.999
DR1,DRAP1,0.999
CPSF6,NUDT21,0.999
SNAPC3,SNAPC4,0.999
SNAPC3,SNAPC2,0.999
SNAPC3,SNAPC5,0.999
SNAPC3,SNAPC1,0.999
RABGEF1,RABEP1,0.999
RABGEF1,RAB5A,0.999
CD22,PTPRC,0.999
CENPO,CENPQ,0.999
CENPO,CENPH,0.999
CENPO,ITGB3BP,0.999
CENPO,CENPU,0.999
CENPO,CENPK,0.999
CENPO,CENPT,0.999
CENPO,CENPI,0.999
CENPO,CENPL,0.999
CENPO,CENPN,0.999
CENPO,CENPP,0.999
CENPO,CENPM,0.999
TRIM33,SMAD2,0.999
POMP,PSMA1,0.999
POMP,PSMB7,0.999
POMP,PSMB4,0.999
POMP,PSMB5,0.999
IL21,IL21R,0.999
POMP,PSMA7,0.999
POMP,PSMB10,0.999
LGR5,RSPO2,0.999
POMP,PSMA3,0.999
POMP,PSMB3,0.999
POMP,PSMB9,0.999
POMP,PSMB2,0.999
POMP,PSMB8,0.999
POMP,PSMA4,0.999
POMP,PSMA6,0.999
POMP,PSMB1,0.999
ISY1,XAB2,0.999
TNFRSF1B,TNFRSF1A,0.999
LGR5,RSPO1,0.999
UTP15,NOP58,0.999
UTP15,NOC4L,0.999
EIF3CL,EIF3A,0.999
VAMP3,STX4,0.999
EIF3CL,EIF3H,0.999
EIF3CL,EIF3E,0.999
B2M,CD1B,0.999
TOMM7,TOMM5,0.999
TOMM7,TOMM70,0.999
TPI1,GAPDH,0.999
B2M,TAPBP,0.999
TOMM7,TOMM22,0.999
UTP15,BYSL,0.999
B2M,CALR,0.999
ZFY,USP9Y,0.999
TOMM7,TOMM40,0.999
B2M,LILRB1,0.999
TOMM7,TOMM6,0.999
TOMM7,TOMM20,0.999
UTP15,WDR46,0.999
LAMTOR2,LAMTOR3,0.999
VAMP3,SNAP25,0.999
CEP152,PLK4,0.999
B2M,HLA-F,0.999
LAMTOR2,SLC38A9,0.999
LAMTOR2,LAMTOR5,0.999
NUP98,NUP93,0.999
B2M,HFE,0.999
B2M,HLA-G,0.999
B2M,HLA-A,0.999
NUP98,NUP160,0.999
UTP15,UTP6,0.999
B2M,PDIA3,0.999
DGAT2,DGAT1,0.999
HMGCR,MVK,0.999
H3BNC9_HUMAN,RPS3,0.999
H3BNC9_HUMAN,RPS3A,0.999
LAMTOR2,LAMTOR1,0.999
UTP15,NOP56,0.999
NUP98,RANBP2,0.999
B2M,CD1D,0.999
KCNQ1,KCNE2,0.999
B2M,HLA-B,0.999
TPI1,PGK1,0.999
PAN3,PAN2,0.999
EPHA2,EFNA5,0.999
B2M,HLA-C,0.999
B2M,FCGRT,0.999
NUP98,RAE1,0.999
NUP98,NUP37,0.999
NUP98,NUP107,0.999
FKBP1B,RYR2,0.999
B2M,CD1A,0.999
EPHA2,EFNA2,0.999
TNFSF12,TNFRSF12A,0.999
EPHA2,EFNA1,0.999
VAMP3,STX1A,0.999
NUP98,NUP85,0.999
DDX23,SNRNP200,0.999
HMGCR,INSIG1,0.999
KCNQ1,AKAP9,0.999
NUP98,SEC13,0.999
B2M,HLA-E,0.999
KL,FGFR1,0.999
MRTO4,PES1,0.999
CD27,CD70,0.999
LAMTOR2,RRAGB,0.999
LAMTOR2,RRAGC,0.999
MRTO4,NIP7,0.999
KCNQ1,KCNE3,0.999
FGF7,FGFR2,0.999
CCL20,CCRL2,0.999
PSMA8,PSMA1,0.999
SCGB2A2,SCGB1D2,0.999
TNFRSF1B,LTA,0.999
PSMA8,PSMB6,0.999
TPI1,GPI,0.999
UTP15,WDR75,0.999
KL,FGF23,0.999
UTP15,HEATR1,0.999
KLRG1,CDH1,0.999
B2M,CD1C,0.999
LAMTOR2,LAMTOR4,0.999
UTP15,UTP4,0.999
MRTO4,NSA2,0.999
KCNQ1,KCNE1,0.999
KCNQ1,CALM3,0.999
NDUFA9,MT-ND4,0.999
NDUFA9,MT-ND3,0.999
NANOG,SALL4,0.999
KNTC1,ZW10,0.999
DDX23,EFTUD2,0.999
DDX23,TXNL4A,0.999
PSMA8,PSMB7,0.999
UTP15,WDR43,0.999
NDUFA9,NDUFB5,0.999
NDUFA9,NDUFC2,0.999
NDUFA9,NDUFA13,0.999
NDUFA9,NDUFB3,0.999
NDUFA9,NDUFS1,0.999
NDUFA9,NDUFV2,0.999
NDUFA9,NDUFAB1,0.999
VPS35,SNX5,0.999
NUP98,NUP43,0.999
ATP8B1,TMEM30A,0.999
VPS35,SNX1,0.999
NDUFA9,MT-ND5,0.999
NDUFA9,NDUFA5,0.999
DDX23,SNRPD2,0.999
KNTC1,ZWILCH,0.999
NDUFA9,NDUFS6,0.999
NDUFA9,NDUFA6,0.999
NDUFA9,NDUFB11,0.999
NDUFA9,NDUFB8,0.999
UTP15,MPHOSPH10,0.999
DNA2,WRN,0.999
NUP98,NUP133,0.999
LAMTOR2,RRAGA,0.999
VPS35,SNX3,0.999
NDUFA9,NDUFA12,0.999
NDUFA9,MT-ND2,0.999
NDUFA9,UQCRFS1,0.999
CCL20,CCL5,0.999
ITGAX,ITGB2,0.999
COX7A2,MT-CO2,0.999
NANOG,POU5F1,0.999
NDUFA9,MT-ND1,0.999
NDUFA9,NDUFV1,0.999
NDUFA9,NDUFS3,0.999
NDUFA9,NDUFA3,0.999
NDUFA9,NDUFB9,0.999
NDUFA9,NDUFB7,0.999
NDUFA9,NDUFA11,0.999
NDUFA9,NDUFS4,0.999
NDUFA9,NDUFA7,0.999
NDUFA9,NDUFB1,0.999
NDUFA9,NDUFS7,0.999
NDUFA9,NDUFB4,0.999
NDUFA9,NDUFB6,0.999
NUP98,NUP153,0.999
RBM15B,RBM15,0.999
RBM15B,VIRMA,0.999
RBM15B,ZC3H13,0.999
HMG20B,KDM1A,0.999
HMG20B,RCOR1,0.999
DDX23,PRPF3,0.999
SNRNP200,LSM8,0.999
NDUFA9,NDUFA10,0.999
NDUFA9,NDUFS8,0.999
NDUFA9,NDUFA8,0.999
NDUFA9,NDUFS5,0.999
NDUFA9,UQCR10,0.999
VAMP3,STX6,0.999
NDUFA9,NDUFA2,0.999
NDUFA9,NDUFS2,0.999
CWC27,SNRNP200,0.999
RBM15B,METTL14,0.999
RBM15B,METTL3,0.999
TNFRSF1B,TNF,0.999
SNRNP200,DHX16,0.999
NANOG,SOX2,0.999
RBM15B,WTAP,0.999
NDUFA9,NDUFB10,0.999
NDUFA9,NDUFV3,0.999
RBM7,MTREX,0.999
CWC27,RNF113A,0.999
MRTO4,GTPBP4,0.999
CWC27,CWC22,0.999
VEGFB,KDR,0.999
VIP,VIPR1,0.999
PDHX,PDHA1,0.999
HMG20B,PHF21A,0.999
DDX23,PRPF8,0.999
VPS35,VPS29,0.999
IGFBP3,IGFALS,0.999
IGFBP3,IGF2,0.999
IGFBP3,IGF1,0.999
MRTO4,RSL24D1,0.999
CNOT3,CNOT6L,0.999
CNOT3,CNOT4,0.999
CNOT3,CNOT7,0.999
CNOT3,CNOT9,0.999
NLGN4X,NRXN1,0.999
VPS35,VPS26A,0.999
CCL20,CXCL12,0.999
CETN2,RAD23B,0.999
PRPF8,SF3B2,0.999
PRPF8,SRRM2,0.999
CCNB2,CDK2,0.999
PDHX,DLD,0.999
VPS35,VPS26B,0.999
DLG4,GRIN2A,0.999
DLG4,GRIN2B,0.999
CNOT3,CNOT11,0.999
MRTO4,RPF2,0.999
NLGN4X,NRXN2,0.999
CNOT3,CNOT10,0.999
CNOT3,CNOT1,0.999
CCM2,KRIT1,0.999
CCM2,PDCD10,0.999
NUP98,NUP54,0.999
CNOT3,CNOT8,0.999
CCL20,CCR6,0.999
PRPF8,SNRNP200,0.999
PRPF8,SNRPF,0.999
CCNB2,CDK1,0.999
PRPF8,SF3B3,0.999
SNRNP200,SF3B4,0.999
PRPF8,SNW1,0.999
CCM2,MAP3K3,0.999
VPS35,SNX2,0.999
UTP15,WDR3,0.999
ARNTL2,CLOCK,0.999
VAMP3,SNAP23,0.999
CNOT3,CNOT2,0.999
CNOT3,CNOT6,0.999
NUP98,NUP88,0.999
UTP15,UTP18,0.999
PRPF8,BUD31,0.999
PRPF8,BCAS2,0.999
AP5B1,AP5S1,0.999
PRPF8,PRPF4,0.999
PRPF8,PRPF31,0.999
RBBP7,HDAC1,0.999
UTP15,RRP9,0.999
UTP15,SNU13,0.999
DLG4,NLGN1,0.999
AMN,CUBN,0.999
DCAF4,DDB1,0.999
NUP98,NUP214,0.999
DLG4,CACNG2,0.999
RBBP7,MTA2,0.999
GNA12,ARHGEF1,0.999
CETN2,ENY2,0.999
PRPF8,SART1,0.999
SNRNP200,SNRPD1,0.999
SNRNP200,PRPF19,0.999
SNRNP200,SNRPD2,0.999
GPKOW,DHX16,0.999
NUP98,NUP155,0.999
DLG4,DLGAP1,0.999
WTAP,ZC3H13,0.999
CACNA1C,CALML4,0.999
WTAP,VIRMA,0.999
NUP98,SEH1L,0.999
CACNA1C,CALM3,0.999
CACNA1C,CALML5,0.999
CACNA1C,CACNB2,0.999
WTAP,CBLL1,0.999
WTAP,RBM15,0.999
CACNA1C,CALML6,0.999
CACNA1C,CALML3,0.999
TSC1,RHEB,0.999
TSEN54,TSEN34,0.999
CETN2,PCID2,0.999
PRPF8,AQR,0.999
UTP15,BMS1,0.999
UTP15,WDR36,0.999
EPB42,SLC4A1,0.999
CCL20,CXCL11,0.999
AQR,PPIE,0.999
AQR,XAB2,0.999
UTP15,TBL3,0.999
AQR,RBM22,0.999
AQR,CDC5L,0.999
RBM7,ZCCHC8,0.999
CETN2,XPC,0.999
PRPF8,SNRPE,0.999
LDLR,PCSK9,0.999
PRPF8,SNRPB,0.999
VEGFB,FLT4,0.999
RNF123,UBAC1,0.999
PRPF8,SNRPD3,0.999
PRPF8,XAB2,0.999
SDC1,FN1,0.999
WTAP,METTL14,0.999
WTAP,RBM15B,0.999
RBBP7,EZH2,0.999
FGF7,FGFR1,0.999
EPB42,AHSP,0.999
WTAP,METTL3,0.999
AQR,BCAS2,0.999
CDK5R1,CDK5,0.999
TSR2,RPS26,0.999
VIP,VIPR2,0.999
PRPF8,SF3A2,0.999
PRPF8,PPIL1,0.999
PRPF8,CDC5L,0.999
PRPF8,RBM22,0.999
TSEN54,TSEN15,0.999
PRPF8,CWC15,0.999
PRPF8,ISY1-RAB43,0.999
PRPF8,PRPF6,0.999
PRPF8,YJU2,0.999
SNRNP200,CWC25,0.999
XAB2,CRNKL1,0.999
XAB2,SNRPA1,0.999
XAB2,CWC22,0.999
GYG2,GYS1,0.999
GNA12,ARHGEF11,0.999
XAB2,PRPF8,0.999
AQR,PRPF19,0.999
AQR,CDC40,0.999
RAB35,DENND1A,0.999
TSEN54,TSEN2,0.999
PRPF8,CRNKL1,0.999
PRPF8,SNRPA1,0.999
RAB35,DENND1B,0.999
PRPF8,SF3A1,0.999
PRPF8,SNRNP40,0.999
RNF7,ELOB,0.999
RNF7,CUL1,0.999
PRPF8,CWC22,0.999
CSAG1,MAGEA12,0.999
PRPF8,SNRPG,0.999
PRPF8,PRPF3,0.999
PDHX,PDHB,0.999
PRPF8,MFAP1,0.999
PRPF8,AAR2,0.999
HIF1AN,HIF1A,0.999
DCUN1D1,UBE2M,0.999
MIS12,PMF1,0.999
MIS12,DSN1,0.999
AQR,EFTUD2,0.999
RBBP7,GATAD2B,0.999
MIS12,NSL1,0.999
GNA12,ARHGEF12,0.999
XAB2,PLRG1,0.999
AQR,PRPF8,0.999
XAB2,DHX16,0.999
RBBP7,SIN3A,0.999
XAB2,SNRPD1,0.999
PAK6,CDC42,0.999
COX6A1,COX4I1,0.999
COX6A1,MT-CO2,0.999
COX6A1,COX6C,0.999
COX6A1,COX5B,0.999
RNF7,ELOC,0.999
XAB2,PRPF19,0.999
AQR,CRNKL1,0.999
BACE1,APP,0.999
AQR,SNRPA1,0.999
XAB2,EFTUD2,0.999
XAB2,CDC40,0.999
XAB2,SF3B2,0.999
TLN1,PTK2,0.999
RBBP7,RBBP4,0.999
COX6A1,MT-CO1,0.999
COX6A1,MT-CO3,0.999
COX6A1,COX6B1,0.999
PRPF8,PRPF19,0.999
PRPF8,SLU7,0.999
PRPF8,PLRG1,0.999
COX6A1,COX7C,0.999
VEGFB,FLT1,0.999
XAB2,SNW1,0.999
XAB2,ISY1,0.999
EIF2B2,EIF2S2,0.999
XAB2,BCAS2,0.999
XAB2,SYF2,0.999
EIF2B2,EIF2S1,0.999
XAB2,BUD31,0.999
CCL20,CXCL5,0.999
EIF2B2,EIF2B1,0.999
PRPF8,DDX23,0.999
COX6A1,COX5A,0.999
PRPF8,DHX16,0.999
PRPF8,SF3B4,0.999
PRPF8,LSM8,0.999
PRPF8,CDC40,0.999
PRPF8,SNRPD2,0.999
PRPF8,SNRPD1,0.999
TLN1,SRC,0.999
XAB2,AQR,0.999
XAB2,PPIE,0.999
EIF2B2,EIF2S3,0.999
NOP56,UTP15,0.999
NOP56,DKC1,0.999
RBBP7,SAP30,0.999
WDR61,CDC73,0.999
PRPF8,SF3A3,0.999
SMDT1,MICU1,0.999
WDR61,RTF1,0.999
PRPF8,TXNL4A,0.999
PRPF8,SF3B1,0.999
WDR61,CTR9,0.999
PRPF8,EFTUD2,0.999
WNT1,LRP5,0.999
EIF2B2,EIF2B3,0.999
NCBP1,SRRT,0.999
NOP56,FBL,0.999
NOP56,HEATR1,0.999
NOP56,UTP4,0.999
RBBP7,EED,0.999
XAB2,YJU2,0.999
SMDT1,MCU,0.999
WDR61,TTC37,0.999
WDR61,SKIV2L,0.999
WDR61,LEO1,0.999
SMDT1,MCUB,0.999
RNF7,CUL5,0.999
EIF2B2,EIF2B4,0.999
EIF2B2,EIF2B5,0.999
XAB2,RBM22,0.999
XAB2,CDC5L,0.999
NOP56,WDR46,0.999
NOP56,KRR1,0.999
FECH,PPOX,0.999
TIMM17A,TIMM44,0.999
CCAR2,SIRT1,0.999
NOP56,NOP58,0.999
TLN1,VCL,0.999
RBBP7,SUZ12,0.999
RBBP7,CHD3,0.999
NOP56,TBL3,0.999
NDUFB8,NDUFB3,0.999
NOP56,WDR36,0.999
DCUN1D1,CUL1,0.999
NOP56,BMS1,0.999
NOP56,RRP9,0.999
RBBP7,CHD4,0.999
NDUFB8,NDUFAB1,0.999
NDUFB8,NDUFV2,0.999
NDUFB8,NDUFS1,0.999
TLN1,APBB1IP,0.999
NOP56,SNU13,0.999
PSMC4,PSMB2,0.999
NOP56,NAT10,0.999
KLRB1,CLEC2D,0.999
TLN2,ZYX,0.999
PRKAG2,PRKAA1,0.999
SMDT1,MICU2,0.999
NOP56,WDR3,0.999
NDUFB8,MT-ND4,0.999
NOP56,UTP18,0.999
PSMC4,PSMD1,0.999
NDUFB8,MT-ND3,0.999
PSMC4,PSMD14,0.999
PSMC4,PSMC1,0.999
NOP56,WDR43,0.999
NDUFB8,NDUFB5,0.999
NDUFB8,NDUFB2,0.999
NOP56,MPHOSPH10,0.999
NDUFB8,NDUFC2,0.999
NDUFB8,NDUFA13,0.999
RBBP7,MTA1,0.999
NLRP1,CASP1,0.999
TLN2,APBB1IP,0.999
TLN2,PXN,0.999
TLN2,VCL,0.999
IL10RA,JAK1,0.999
NUP93,NUP188,0.999
SNRNP200,CWC27,0.999
SNRNP200,RBMX2,0.999
NUP93,NUP214,0.999
RHOT1,TRAK1,0.999
NDUFB8,NDUFA12,0.999
TLN1,PXN,0.999
PSMC4,PSMC6,0.999
PSMC4,PSMB3,0.999
NDUFB8,NDUFB11,0.999
PSMC4,PSMD8,0.999
NDUFB8,NDUFS6,0.999
RBBP7,EZH1,0.999
NDUFB8,NDUFA6,0.999
NUP93,NUP54,0.999
TLN2,PTK2,0.999
IL10RA,IL10RB,0.999
TLN2,SRC,0.999
PRKAG2,PRKAB1,0.999
NLRP1,BCL2,0.999
NDUFB8,NDUFA9,0.999
NDUFB8,MT-ND5,0.999
NDUFB8,NDUFA5,0.999
PSMC4,PSMD12,0.999
PSMC4,PSMD13,0.999
PSMC4,PSMD5,0.999
NDUFB8,NDUFS4,0.999
TIMM17A,TIMM23,0.999
IL10RA,IL10,0.999
NUP93,SEH1L,0.999
NUP93,NUP62,0.999
NUP93,NUP205,0.999
NLRP1,CASP5,0.999
PSMC4,PSMA6,0.999
PSMC4,PSMD7,0.999
PSMC4,PSMB1,0.999
NDUFB8,NDUFA7,0.999
NDUFB8,NDUFB7,0.999
NDUFB8,NDUFA11,0.999
NDUFB8,NDUFA1,0.999
EGFR,PTPN11,0.999
RBBP7,AEBP2,0.999
NDUFB8,NDUFV1,0.999
NLRP1,PYCARD,0.999
NUP93,NUP85,0.999
NLRP1,MEFV,0.999
NUP93,NUP155,0.999
NDUFB8,MT-ND1,0.999
NDUFB8,NDUFS3,0.999
NDUFB8,NDUFA3,0.999
NDUFB8,NDUFB9,0.999
NDUFB8,MT-ND2,0.999
PSMC4,PSMD10,0.999
RBBP7,HDAC2,0.999
NLRP1,AIM2,0.999
RSPH4A,RSPH9,0.999
MTF2,SUZ12,0.999
NUP93,NUP58,0.999
NUP93,NUP35,0.999
NUP93,NUP107,0.999
NDUFB8,NDUFB10,0.999
POLR2B,POLR2D,0.999
PSMC4,PSMD2,0.999
POLR2B,GTF2F2,0.999
NDUFB8,NDUFV3,0.999
NDUFB8,NDUFA8,0.999
PSMC4,PSMA5,0.999
POLR2B,POLR2L,0.999
PSMC4,PSMA4,0.999
NDUFB8,NDUFA2,0.999
NDUFB8,NDUFS2,0.999
NDUFB8,NDUFS5,0.999
NDUFB8,NDUFB6,0.999
POLR2B,POLR2K,0.999
PSMC4,UCHL5,0.999
POLR2B,POLR2C,0.999
NUP93,NUP98,0.999
APOC3,APOA2,0.999
APOC3,APOA4,0.999
APOC3,APOA1,0.999
NLRP1,NLRC4,0.999
POLR2B,POLR2E,0.999
NDUFB8,NDUFA10,0.999
NDUFB8,NDUFS8,0.999
NDUFB8,NDUFS7,0.999
POLR2B,POLR2F,0.999
PSMC4,PSMD6,0.999
RBBP7,MTA3,0.999
ASF1A,H3-3B,0.999
ASF1A,HIRA,0.999
APOC3,APOB,0.999
ASF1A,UBN1,0.999
CNGA2,CNGB1,0.999
POLR2B,POLR2J,0.999
POLR2B,POLR2A,0.999
PSMC4,PSMB4,0.999
NDUFB8,NDUFB4,0.999
PSMC4,PSMB5,0.999
POLR2B,POLR2H,0.999
POLR2B,SUPT5H,0.999
PSMC4,ADRM1,0.999
EGFR,HBEGF,0.999
PRPF6,SF3B4,0.999
PRPF6,SNRPD2,0.999
PRPF6,SNRPD1,0.999
EGFR,NRG1,0.999
PRPF6,LSM8,0.999
POLR2B,GTF2F1,0.999
PSMC4,PSMA1,0.999
APOC3,APOC1,0.999
APOC3,APOC2,0.999
ASF1A,H3C12,0.999
APOC3,APOE,0.999
PRPF6,SF3A3,0.999
PRPF6,SF3B1,0.999
PRPF6,TXNL4A,0.999
PRPF6,DDX23,0.999
POLR2B,API5,0.999
PRPF6,EFTUD2,0.999
PRPF6,SNU13,0.999
PRPF6,SNRNP40,0.999
PRPF6,PRPF8,0.999
PRPF6,LSM5,0.999
UBQLN4,PSMD4,0.999
PRPF6,SF3A2,0.999
RBBP7,SUDS3,0.999
PRKAG2,PRKAB2,0.999
TIMM17A,TIMM50,0.999
ULBP1,KLRK1,0.999
ACSM2B,ACSM2A,0.999
PRPF6,SF3A1,0.999
PRPF6,LSM4,0.999
POLR2B,SUPT4H1,0.999
AVPR1A,AVP,0.999
PRPF6,MFAP1,0.999
RBBP7,SAP18,0.999
ITGB3,ITGA2B,0.999
ITGB3,TLN1,0.999
ITGB3,FN1,0.999
PRPF6,SNRPG,0.999
NCBP1,NCBP2,0.999
PSMC4,PSMD11,0.999
PRPF6,PRPF3,0.999
RBBP7,GATAD2A,0.999
PRPF6,SART1,0.999
POLR2B,POLR2G,0.999
POLR2B,GTF2B,0.999
PRPF6,SNRPE,0.999
TLN1,PIP5K1C,0.999
TLN1,ZYX,0.999
PRPF6,SNRPD3,0.999
RBBP7,HAT1,0.999
PSMC4,PSMC2,0.999
PSMC4,PSMC3,0.999
ITGB3,ITGA5,0.999
PSMC4,PSMC5,0.999
PSMC4,PSMD4,0.999
PRPF6,SF3B2,0.999
PRPF6,PRPF31,0.999
PRPF6,PRPF4,0.999
PRPF6,SNRNP200,0.999
PRPF6,SNRPF,0.999
PRPF6,SF3B3,0.999
PSMC4,USP14,0.999
PSMC4,PSMA2,0.999
PSMC4,PSMD3,0.999
POLR2B,POLR2I,0.999
CX3CR1,CX3CL1,0.999
EDC3,EDC4,0.999
TLN1,ITGB3,0.999
FBXO5,ANAPC4,0.999
FBXO5,CDC20,0.999
RSL1D1,DDX18,0.999
EDC3,XRN1,0.999
EDC3,PATL1,0.999
TLN1,ITGB1,0.999
